"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.112479165E-5,-5.540453178E-1,-8.891217649E-2,-1.973575616E0
1.989087509E-2,-7.304558140E-1,8.225687563E-2,-1.833550004E0
3.987187520E-2,-2.525459218E-1,3.624650976E-1,-1.090936659E0
5.985387508E-2,2.117113066E-1,4.815655714E-1,-3.607439697E-1
7.983587519E-2,2.449764088E-1,3.260974628E-1,-6.326570392E-2
9.981787507E-2,-2.008650139E-1,-1.323137194E-1,-6.016726434E-2
1.197998752E-1,-5.574998528E-1,-4.087139422E-1,1.295029628E-1
1.397818751E-1,-4.998252565E-1,-4.735914311E-1,1.373510957E-1
1.597638752E-1,-1.860519701E-1,-3.408342004E-1,1.078109622E-2
1.797448751E-1,3.138191870E-1,6.652961969E-2,1.105088675E-1
1.997268752E-1,5.459071630E-1,1.926385662E-1,7.023909330E-2
2.197088751E-1,2.916140932E-1,5.223434687E-2,5.662607360E-1
2.396908752E-1,4.110273930E-1,-4.826028675E-2,9.249219275E-1
2.596728751E-1,6.509177475E-1,1.577385825E-1,7.369643497E-1
2.796548752E-1,3.437731571E-1,2.074817231E-1,2.402223301E-1
2.996368750E-1,1.892097589E-1,-9.422758788E-2,6.034899580E-1
3.196178752E-1,-5.081749342E-1,2.718411487E-1,6.682192200E-1
3.395998750E-1,3.414383639E-1,6.274492165E-1,1.883195204E-1
3.595818751E-1,7.174464901E-1,1.748913896E-1,-4.055336416E-1
3.795638750E-1,1.537476239E0,1.495537670E0,6.745172560E-2
3.995458751E-1,8.209616491E-1,2.219506583E-1,4.516816217E-1
4.195278750E-1,-1.300588869E-1,-4.314590263E-1,3.473099917E-1
4.395098751E-1,-1.225280824E0,-1.309724558E0,-2.063581806E-1
4.594908750E-1,-1.341823580E0,-5.679763091E-1,-9.289863271E-1
4.794728751E-1,-6.330713875E-1,1.171120404E0,2.013644246E0
4.994548750E-1,7.527712009E-1,2.355276299E0,1.240128366E0
5.194368751E-1,2.032384718E-1,1.763149235E0,1.299802710E0
5.394188750E-1,-3.325198252E-1,6.200922498E-1,-6.762959790E-1
5.594008751E-1,-2.987544206E0,1.370653130E0,-9.550432742E-1
5.793828750E-1,-1.561239908E0,1.605996251E0,-1.021657094E0
5.993638751E-1,-3.716040033E-1,1.242543559E0,-2.172131857E0
6.193458750E-1,4.757320602E-1,1.243744577E0,-1.776924983E0
6.393278751E-1,7.071039350E-1,6.865715834E-1,-1.051347501E0
6.593098750E-1,1.015067501E0,1.118902722E-1,-2.972419213E0
6.792918751E-1,7.154656727E-1,-5.924966079E-1,-2.029998908E0
6.992738750E-1,1.016097415E0,-3.004901665E-1,-9.280507725E-1
7.192558751E-1,2.226825104E-1,-3.995899469E-2,-1.035979264E0
7.392362501E-1,-3.988873747E0,1.740488935E0,2.697811162E0
7.592182502E-1,-3.192336356E-1,3.951349533E-1,9.242167532E-1
7.792002501E-1,3.564981237E-1,4.526537213E-1,9.471191275E-1
7.991822502E-1,2.974230827E-1,4.352623478E-1,1.614732576E0
8.191642500E-1,4.545465381E-1,9.283232528E-1,2.473588568E-1
8.391462502E-1,-3.649517357E-1,1.456843720E0,-8.165624964E-1
8.591282500E-1,-7.020631235E-1,1.307833861E0,-5.824072373E-1
8.791102502E-1,-9.347855224E-1,6.224209034E-1,-1.059143593E0
8.990912500E-1,-5.447502914E-1,2.206644755E0,-1.775981242E0
9.190732501E-1,-1.764487370E0,3.032781190E-1,-7.952148968E-1
9.390552500E-1,-3.005715708E-1,1.423487109E0,3.159162909E-1
9.590372501E-1,-4.701173810E-1,1.236319490E0,-1.279677764E0
9.790192500E-1,-3.772208387E-1,9.783371195E-1,-1.246094280E0
9.990012501E-1,5.273914430E-2,1.505480860E0,-7.458795995E-1
1.018983250E0,3.694620220E-1,1.860227633E0,-3.861273175E-1
1.038965250E0,3.164543444E-1,2.179335042E0,-4.623872888E-1
1.058946250E0,-3.312849663E-3,1.990254214E0,-1.042685435E0
1.078928250E0,-2.226679289E-1,1.818436998E0,-8.846088839E-1
1.098910250E0,-8.212477241E-1,1.664907534E0,-7.668138009E-1
1.118892250E0,-1.187267783E0,1.050346457E0,3.021092606E-1
1.138874250E0,-1.584465341E0,1.062868854E0,5.051204950E-1
1.158856250E0,-1.912966010E0,1.268122496E0,-1.667216599E-1
1.178838250E0,-1.239509731E0,1.712852655E0,-5.816693187E-2
1.198820250E0,-5.440880577E-1,1.593969406E0,4.372851920E-1
1.218801250E0,-3.500478774E-1,9.665678439E-1,1.819851732E0
1.238783250E0,-5.681041438E-1,1.605528474E-2,2.568493556E0
1.258765250E0,-7.588199262E-1,-4.301384327E-1,2.063773595E0
1.278747250E0,-2.498646628E-1,-3.303206143E-1,1.125914703E0
1.298729250E0,3.276016590E-1,-2.201856762E-2,9.319993973E-1
1.318711250E0,2.542929602E-1,-4.470020950E-1,7.892788035E-1
1.338693250E0,-1.043498856E-1,-9.860241616E-1,1.499910218E-1
1.358675250E0,7.200232118E-2,-1.284454062E0,-7.916393244E-1
1.378656250E0,4.462616182E-1,-1.455914013E0,-8.976996303E-1
1.398638250E0,8.613242479E-1,-1.455257955E0,-6.473183477E-1
1.418620250E0,1.186673048E0,-1.261188868E0,-5.281292886E-1
1.438602250E0,1.304642743E0,-9.994420597E-1,-8.727571625E-1
1.458584250E0,1.191990213E0,-6.761457056E-1,-1.329925811E0
1.478566250E0,9.391983430E-1,-3.796942109E-1,-1.356542337E0
1.498548250E0,5.808133594E-1,-3.485449237E-1,-7.021786791E-1
1.518530250E0,3.070962046E-1,-4.102885973E-1,-1.578274602E-1
1.538512250E0,2.895360293E-1,-2.886592028E-1,3.835539579E-2
1.558493250E0,3.256680579E-1,2.131953299E-2,-4.582112074E-2
1.578475250E0,3.251527720E-1,2.892828083E-1,-7.395944273E-1
1.598457250E0,6.658828188E-1,7.593074378E-1,-1.166554021E0
1.618439250E0,6.780912204E-1,9.142171374E-1,-1.487805896E0
1.638421250E0,6.386741164E-1,8.672555172E-1,-1.490412585E0
1.658403250E0,5.928245636E-1,7.720306867E-1,-1.426769736E0
1.678385250E0,6.197235098E-1,8.618880656E-1,-1.432601749E0
1.698367250E0,7.626756533E-1,9.148424971E-1,-1.301292581E0
1.718349250E0,8.302737055E-1,1.022351743E0,-7.377180558E-1
1.738330750E0,6.718205202E-1,1.076956843E0,-3.676009995E-1
1.758312750E0,7.580382997E-1,1.223803817E0,1.771706343E-4
1.778294750E0,9.570743045E-1,1.410748365E0,2.544807655E-1
1.798276750E0,9.323241370E-1,1.577879330E0,2.314345497E-1
1.818258750E0,7.159891447E-1,1.678077510E0,-3.388987720E-2
1.838240750E0,7.598646044E-1,1.751592506E0,-2.069505036E-2
1.858222750E0,7.636878064E-1,1.718610993E0,6.277781224E-1
1.878204750E0,5.360737908E-1,1.885309264E0,1.204159804E0
1.898186750E0,7.934326655E-1,2.007005902E0,1.326996356E0
1.918168750E0,1.239594662E0,2.053198029E0,1.694654658E0
1.938149750E0,8.621000272E-1,1.773466647E0,1.709078570E0
1.958131750E0,2.873342968E-1,1.324796926E0,1.785420402E0
1.978113750E0,-6.988321714E-2,9.390420762E-1,1.963754048E0
1.998095750E0,-2.348422339E-1,4.549546006E-1,2.107819501E0
2.018077750E0,-2.913674138E-1,-4.445383707E-1,2.490784060E0
2.038059750E0,-6.153227491E-1,-1.162568559E0,2.817175637E0
2.058041750E0,-1.281017361E0,-1.501256831E0,1.667085037E0
2.078023750E0,-1.537158589E0,-1.317394059E0,-2.103594303E-1
2.098005750E0,-1.409733581E0,-8.446384871E-1,-1.323174616E0
