"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.606962204E-3,6.149869216E1,2.309780644E1,8.851795959E1,NaN,NaN,1.256896741E1,2.811980438E1
4.606962204E-3,6.149869216E1,2.309780644E1,8.851004791E1,NaN,NaN,1.256896741E1,2.051621628E1
3.277365327E0,6.149865276E1,2.309769140E1,8.905461424E1,1.703755140E0,NaN,1.223630942E1,2.581614113E1
4.277365923E0,6.149865632E1,2.309769517E1,8.888810216E1,1.331217647E0,NaN,6.786956939E0,1.664725113E1
5.277366042E0,6.149864333E1,2.309771393E1,8.849257530E1,0.000000000E0,NaN,8.509316691E0,2.311766815E1
6.277366042E0,6.149864153E1,2.309773529E1,8.864756436E1,0.000000000E0,NaN,1.008482612E1,9.180577850E1
7.277366519E0,6.149864810E1,2.309774486E1,8.901320385E1,0.000000000E0,NaN,9.387955542E0,2.928660393E1
8.277370334E0,6.149864942E1,2.309775975E1,8.944260006E1,0.000000000E0,NaN,9.020575699E0,2.302392387E1
9.277371645E0,6.149864466E1,2.309778826E1,8.587658057E1,0.000000000E0,NaN,7.798281593E0,7.532431602E0
1.027737260E1,6.149865289E1,2.309782666E1,8.497141229E1,8.752788305E-1,2.979680271E1,6.124180086E0,7.690327168E0
1.127737284E1,6.149865934E1,2.309784074E1,8.472747409E1,8.752788305E-1,5.179187648E1,4.676792664E0,6.833596706E0
1.254935718E1,6.149866043E1,2.309786102E1,8.560529932E1,7.503455281E-1,4.896948522E1,4.343683013E0,6.256762981E0
1.354928756E1,6.149867171E1,2.309787527E1,8.387324076E1,6.618044376E-1,5.816446346E1,3.410567988E0,4.919420719E0
1.454921746E1,6.149867484E1,2.309788583E1,8.387328474E1,6.618044376E-1,5.816447274E1,4.222021543E0,4.973804160E0
1.554914951E1,6.149867961E1,2.309788112E1,8.340505564E1,2.217458785E-1,5.816446657E1,4.285274963E0,4.308123848E0
1.654908407E1,6.149868324E1,2.309787609E1,8.234129083E1,1.976347119E-1,5.816446623E1,4.314837051E0,3.986657755E0
1.754902041E1,6.149868298E1,2.309786230E1,8.196526573E1,2.485493124E-1,5.816446695E1,4.353051613E0,3.856874212E0
1.854896152E1,6.149868350E1,2.309784393E1,8.204755915E1,2.485493124E-1,3.171907584E2,4.410873523E0,3.790611005E0
1.954889894E1,6.149868702E1,2.309783943E1,8.187652244E1,3.378395140E-1,3.516319073E2,4.464673379E0,3.727093862E0
2.054884624E1,6.149868769E1,2.309783763E1,8.164957523E1,2.519854307E-1,3.516319075E2,4.504326807E0,3.679072851E0
2.154879594E1,6.149868804E1,2.309784029E1,8.181887518E1,2.005147934E-1,3.516319077E2,4.532332943E0,3.644515760E0
2.254874432E1,6.149868928E1,2.309784424E1,8.174702700E1,1.767101288E-1,3.516319077E2,4.535077436E0,3.641100065E0
2.354870009E1,6.149869074E1,2.309784720E1,8.164748623E1,2.005147934E-1,3.516319077E2,4.536559568E0,3.639253264E0
2.454865909E1,6.149869310E1,2.309784582E1,8.175450093E1,2.474054247E-1,3.516319075E2,4.538596277E0,3.636712920E0
2.554862106E1,6.149869606E1,2.309784261E1,8.168433603E1,2.154795825E-1,3.516319076E2,4.555478415E0,3.615543312E0
2.654858518E1,6.149869260E1,2.309784578E1,8.171213046E1,1.923428476E-1,3.516319077E2,4.565242810E0,3.603206228E0
2.754855156E1,6.149868779E1,2.309785162E1,8.203576689E1,2.252683192E-1,3.516319076E2,4.574638980E0,3.591269307E0
2.854851985E1,6.149868464E1,2.309786514E1,8.185312025E1,1.476057619E-1,3.516319078E2,4.549725219E0,3.622780350E0
2.954848969E1,6.149868388E1,2.309787782E1,8.173755437E1,1.659920663E-1,3.516319077E2,4.533140761E0,3.643510927E0
3.054846144E1,6.149865788E1,2.309787753E1,8.173800092E1,1.194628239E0,1.848552706E2,4.492987831E0,3.692911776E0
3.154843533E1,6.149864262E1,2.309787405E1,8.159730613E1,1.357643485E0,1.891866878E2,4.469384308E0,3.721443395E0
3.254841042E1,6.149862969E1,2.309787558E1,8.154227325E1,1.349169016E0,1.911756382E2,4.452189153E0,3.741997966E0
3.354838765E1,6.149861543E1,2.309787740E1,8.191502573E1,1.357643485E0,1.913800247E2,4.439765681E0,3.756729658E0
3.454836500E1,6.149858780E1,2.309789307E1,8.325769840E1,1.338978026E0,1.939905207E2,4.756510314E0,3.346662018E0
3.554834557E1,6.149857906E1,2.309787673E1,8.313012250E1,1.208333673E0,2.053385601E2,4.752828197E0,3.351889193E0
3.654832506E1,6.149857431E1,2.309785150E1,8.287343025E1,1.160667757E0,2.346104574E2,4.751246541E0,3.354130788E0
3.754830694E1,6.149858014E1,2.309782259E1,8.297384065E1,1.233950688E0,2.680182844E2,4.748452761E0,3.358084783E0
3.854829049E1,6.149858016E1,2.309779191E1,8.310258639E1,1.267333386E0,2.719286188E2,4.749848586E0,3.356110166E0
3.954827404E1,6.149857757E1,2.309776339E1,8.316466129E1,1.271311653E0,2.722145633E2,4.751028380E0,3.354439798E0
4.054825854E1,6.149858185E1,2.309774216E1,8.309203097E1,1.181638895E0,2.743743631E2,4.755666176E0,3.347861445E0
4.154824495E1,6.149858442E1,2.309771678E1,8.318847357E1,1.148558383E0,2.796311387E2,4.756384973E0,3.346840155E0
4.254823112E1,6.149859385E1,2.309769741E1,8.300867066E1,1.210711408E0,2.930825220E2,4.757024293E0,3.345931397E0
4.354821813E1,6.149860243E1,2.309767735E1,8.304625242E1,1.210585121E0,3.022323700E2,4.753778414E0,3.350541423E0
4.454820609E1,6.149861098E1,2.309765492E1,8.324624136E1,1.257545311E0,3.129219138E2,4.751984140E0,3.353085709E0
4.554819536E1,6.149861126E1,2.309762868E1,8.352132708E1,1.207968929E0,2.925437079E2,4.751033047E0,3.354433189E0
4.654818463E1,6.149860889E1,2.309760335E1,8.366163607E1,1.210152817E0,2.733128168E2,4.752987338E0,3.351663528E0
4.754817474E1,6.149860904E1,2.309757948E1,8.369190963E1,1.169331000E0,2.720010352E2,4.752442517E0,3.352436003E0
4.854816544E1,6.149860517E1,2.309755239E1,8.379305979E1,1.370196030E0,2.699037339E2,4.752965696E0,3.351694218E0
4.954815602E1,6.149860367E1,2.309752641E1,8.401886877E1,1.325199231E0,2.727617748E2,4.752797387E0,3.351932880E0
5.054814839E1,6.149860337E1,2.309750935E1,8.393465795E1,1.348295515E0,2.635123910E2,4.729102455E0,3.385280934E0
5.154814029E1,6.149859704E1,2.309749316E1,8.375822158E1,1.090805817E0,2.486907916E2,4.728825190E0,3.385668228E0
5.254813254E1,6.149858683E1,2.309747405E1,8.382591668E1,1.089595133E0,2.327076414E2,4.728209529E0,3.386527968E0
5.354812598E1,6.149858115E1,2.309745262E1,8.346962539E1,1.058185483E0,2.323932771E2,4.728818302E0,3.385677849E0
5.454811871E1,6.149858314E1,2.309742969E1,8.352568705E1,1.002147266E0,2.545987035E2,4.728640537E0,3.385926122E0
5.554811239E1,6.149858376E1,2.309740730E1,8.363420185E1,1.060910777E0,2.639395977E2,4.727773681E0,3.387136409E0
5.654810679E1,6.149858582E1,2.309738423E1,8.351646138E1,1.007033537E0,2.715282624E2,4.727494677E0,3.387525809E0
5.754810166E1,6.149858801E1,2.309736380E1,8.364003265E1,9.906117590E-1,2.771222014E2,4.727777056E0,3.387131698E0
